Hojde;Underarmslaengde;Underarmsomkreds;Hoppehojde;Haandtryk;Muskeltraenet;kon
168;27;25;35;153;0;1
164;24;24;29.3;160;1;1
167;29;27;44;244;1;1
168;26;21.5;37;268;0;1
166;27;26;33.7;196;1;1
165;27;25;34;247;0;1
185;28;26;36;220;0;1
172;28;26;33.3;263;1;1
170;27;25;30;200;0;1
156;25;24;25;210;1;1
180;26;22;27;226.5;0;1
163;28;26;35;217.7;1;1
189;49.5;25;41;273.2;0;0
182;48.2;28;51;420.9;1;0
180;47;28.5;47;394;1;0
180;48.5;25;47;266;0;0
175;45.6;26;39;263;0;0
183;48;27;48;388;0;0
189;51.2;28.5;50;396.3;1;0
179;48.5;25;46;265;0;0
176;48;31;28;400;1;0
172;66;30;35;350;0;0
188;66;30;26;360;0;0
188;60;31;28;350;0;0
180;40;32;27;450;1;0
189;54;28;25;420;1;0
190;40;30;31;400;0;0
180;43;30;37;410;0;0
175;40.4;26;34;460;1;0
178;47;29;24;300;0;0
